name,link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,link_type,vdf_alpha,vdf_beta,ref_volume,obs_volume,vdf_fftt,vdf_toll,geometry
,42,14,23,1,6436,4,1,4924.790605,96.54,60,1,0.15,4,8224.451,,4,,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)"
,43,15,10,1,9654,6,1,13512.00155,96.54,60,1,0.15,4,22484.834,,6,,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)"
,44,15,14,1,8045,5,1,5127.526119,96.54,60,1,0.15,4,9041.501,,5,,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)"
,45,15,19,1,4827,3,1,14564.75315,96.54,60,1,0.15,4,17955.973,,3,,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)"
,46,15,22,1,4827,3,1,9599.180565,96.54,60,1,0.15,4,18078.322,,3,,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)"
,47,16,8,1,8045,5,1,5045.822583,96.54,60,1,0.15,4,8596.646,,5,,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)"
,48,16,10,1,6436,4,1,4854.917717,96.54,60,1,0.15,4,11376.53,,4,,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)"
,49,16,17,1,3218,2,1,5229.910063,96.54,60,1,0.15,4,10895.549,,2,,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)"
,50,16,18,1,4827,3,1,19679.89671,96.54,60,1,0.15,4,16700.59,,3,,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)"
,51,17,10,1,12872,8,1,4993.510694,96.54,60,1,0.15,4,8099.999,,8,,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)"
,52,17,16,1,3218,2,1,5229.910063,96.54,60,1,0.15,4,10905.318,,2,,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)"
,53,17,19,1,3218,2,1,4823.950831,96.54,60,1,0.15,4,9948.753,,2,,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)"
,54,18,7,1,3218,2,1,23403.47319,96.54,60,1,0.15,4,15708.296,,2,,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)"
,55,18,16,1,4827,3,1,19679.89671,96.54,60,1,0.15,4,16727.611,,3,,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)"
,56,18,20,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,20692.295,,4,,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)"
,57,19,15,1,4827,3,1,14564.75315,96.54,60,1,0.15,4,17964.596,,3,,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)"
,58,19,17,1,3218,2,1,4823.950831,96.54,60,1,0.15,4,9958.525,,2,,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)"
,59,19,20,1,6436,4,1,5002.607563,96.54,60,1,0.15,4,7899.545,,4,,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)"
,60,20,18,1,6436,4,1,23403.47319,96.54,60,1,0.15,4,20707.057,,4,,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)"
,61,20,19,1,6436,4,1,5002.607563,96.54,60,1,0.15,4,7917.937,,4,,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)"
,62,20,21,1,9654,6,1,5059.91234,96.54,60,1,0.15,4,6445.915,,6,,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)"
,63,20,22,1,8045,5,1,5075.697193,96.54,60,1,0.15,4,7000,,5,,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)"
,64,21,20,1,9654,6,1,5059.91234,96.54,60,1,0.15,4,6379.069,,6,,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)"
,65,21,22,1,3218,2,1,5229.910063,96.54,60,1,0.15,4,8315.617,,2,,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)"
,66,21,24,1,4827,3,1,4885.357564,96.54,60,1,0.15,4,10299.105,,3,,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)"
,67,22,15,1,4827,3,1,9599.180565,96.54,60,1,0.15,4,18056.934,,3,,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)"
,68,22,20,1,8045,5,1,5075.697193,96.54,60,1,0.15,4,7000,,5,,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)"
,69,22,21,1,3218,2,1,5229.910063,96.54,60,1,0.15,4,8299.461,,2,,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)"
,70,22,23,1,6436,4,1,5000,96.54,60,1,0.15,4,9604.388,,4,,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)"
,71,23,14,1,6436,4,1,4924.790605,96.54,60,1,0.15,4,8223.786,,4,,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)"
,72,23,22,1,6436,4,1,5000,96.54,60,1,0.15,4,9566.843,,4,,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)"
,73,23,24,1,3218,2,1,5078.508436,96.54,60,1,0.15,4,7742.693,,2,,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)"
,74,24,13,1,6436,4,1,5091.256152,96.54,60,1,0.15,4,10964.604,,4,,"LINESTRING (-96.793448 43.490962, -96.749272 43.503419)"
,75,24,21,1,4827,3,1,4885.357564,96.54,60,1,0.15,4,10248.417,,3,,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)"
,76,24,23,1,3218,2,1,5078.508436,96.54,60,1,0.15,4,7704.481,,2,,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)"
